"Story","Title","Result","Date","Stability","Duration (s)"
"Login","enter the website","SUCCESS","2022-08-25T10:20:24.7435962-05:00[America/Mexico_City]","0.0","15.21"
"Instagram","Interact to the website","SUCCESS","2022-08-25T10:06:19.359757-05:00[America/Bogota]","0.0","12.63"
